architecture,query,kind,retrieval_k,context_k,n_relevant,top1_id,top_score,context_recall,context_primary_hit,recall@1,precision@1,ndcg@1,hit@1,primary_hit@1,recall@3,precision@3,ndcg@3,hit@3,primary_hit@3,recall@5,precision@5,ndcg@5,hit@5,primary_hit@5,recall@10,precision@10,ndcg@10,hit@10,primary_hit@10,mrr@10
A. Lexical retrieval (BM25 only),What rectal temperature counts as a fever in an infant under three months?,direct,20,5,1,PF01,21.37843894958496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which medicines are used to reduce fever in children?,direct,20,5,2,PF03,12.232248306274414,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Who should receive an annual influenza vaccine?,direct,20,5,2,VX02,10.884834289550781,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What screening questionnaire is used for depression in primary care?,direct,20,5,2,MH01,19.33678436279297,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which tool screens for generalized anxiety symptoms?,direct,20,5,1,MH03,17.899147033691406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How frequently are prenatal visits scheduled in a low-risk pregnancy?,direct,20,5,1,PG01,17.210386276245117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),When is screening for gestational diabetes performed?,direct,20,5,2,PG02,18.976001739501953,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What does a lipid panel measure?,direct,20,5,1,CV01,11.840105056762695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which drug class is first-line for lowering LDL cholesterol?,direct,20,5,2,CV02,24.938852310180664,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,1.0,0.2,0.91311732856428,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How can the public recognize the symptoms of a stroke?,direct,20,5,1,ST01,16.15562629699707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How is chronic kidney disease staged?,direct,20,5,1,KD01,12.578361511230469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which blood test screens for an underactive thyroid?,direct,20,5,2,MH03,5.529201984405518,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.17376534287144002,1.0,0.0,0.5,0.2,0.17376534287144002,1.0,0.0,0.5,0.1,0.17376534287144002,1.0,0.0,0.5
A. Lexical retrieval (BM25 only),How much aerobic physical activity is recommended for adults each week?,direct,20,5,2,LS03,15.247992515563965,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.0,1.0,0.6666666666666666,0.7967075809905066,1.0,1.0,1.0,0.4,0.7967075809905066,1.0,1.0,1.0,0.2,0.7967075809905066,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Does counseling combined with medication improve smoking cessation rates?,direct,20,5,1,LS04,8.516526222229004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What is the recommended time window for intravenous thrombolysis in ischemic stroke?,direct,20,5,2,ST02,19.146902084350586,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How is severe hypoglycemia with loss of consciousness treated?,direct,20,5,2,DM10,17.529132843017578,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9639404333166532,1.0,1.0,1.0,0.4,0.9639404333166532,1.0,1.0,1.0,0.2,0.9639404333166532,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What is resistant hypertension and how is it evaluated?,direct,20,5,1,HT13,7.191340446472168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How is a severe asthma exacerbation managed?,direct,20,5,1,AS10,9.796035766601562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What are the four foundational drug classes for heart failure with reduced ejection fraction?,direct,20,5,2,CV11,31.33401870727539,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),When should dialysis be started in chronic kidney disease?,direct,20,5,1,KD03,16.123905181884766,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714574,1.0,1.0,1.0,0.2,0.6309297535714574,1.0,1.0,1.0,0.1,0.6309297535714574,1.0,1.0,0.5
A. Lexical retrieval (BM25 only),My sugar levels run high in the morning even before I eat anything. What test confirms it?,paraphrase,20,5,2,ST04,7.332339763641357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),What is the rule for treating a low sugar episode with juice?,paraphrase,20,5,2,DM09,10.406851768493652,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which water pill is used to bring blood pressure down?,paraphrase,20,5,1,HT06,10.081377983093262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),My blood pressure tablet gives me a constant dry tickly cough. What can I switch to?,paraphrase,20,5,2,HT07,17.911012649536133,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Why do my ankles swell up since starting the pill for my blood pressure?,paraphrase,20,5,1,HT14,8.190115928649902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),Which puffer do I grab when I suddenly cannot catch my breath?,paraphrase,20,5,2,HT07,8.51223087310791,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4382444959756785,1.0,1.0,1.0,0.2,0.4382444959756785,1.0,1.0,0.25
A. Lexical retrieval (BM25 only),Is there a plastic tube thing that helps the medicine get into the lungs properly?,paraphrase,20,5,1,CV01,6.991695880889893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),I get wheezy whenever I go running. What do I take beforehand?,paraphrase,20,5,2,HT07,12.768345832824707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),Should I keep taking the pills after the infection feels better?,paraphrase,20,5,2,HT06,9.054924964904785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),I got terrible watery diarrhea a couple of weeks after taking antibiotics.,paraphrase,20,5,1,ID12,13.37239933013916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Is the baby aspirin worth taking to prevent a first heart attack if I am healthy?,paraphrase,20,5,2,CV02,10.758113861083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.2388353776606868,1.0,1.0,0.1
A. Lexical retrieval (BM25 only),I need a blood thinner because my heart beats irregularly. Which kind?,paraphrase,20,5,1,HT07,7.417612552642822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),My legs ache since I started the cholesterol tablet. Do I have to stop it?,paraphrase,20,5,1,HT07,9.772587776184082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),"I am always cold, tired, and constipated and my skin is dry. What should be checked?",paraphrase,20,5,1,TH01,13.523445129394531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How long after changing my thyroid tablet dose should the blood test be repeated?,paraphrase,20,5,1,HT06,9.282793998718262,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.2,0.5,1.0,1.0,1.0,0.1,0.5,1.0,1.0,0.3333333333333333
A. Lexical retrieval (BM25 only),Weakness on one side of the face and slurred words came on suddenly. What do I do?,paraphrase,20,5,2,ST01,10.498884201049805,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),"The symptoms went away completely after half an hour, so is it still worth being seen?",paraphrase,20,5,1,ST04,14.447339057922363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How much salt is too much if my pressure is up?,paraphrase,20,5,2,HT04,6.401877403259277,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.26406812257259094,1.0,1.0,0.5,0.1,0.26406812257259094,1.0,1.0,0.25
A. Lexical retrieval (BM25 only),Do I need to lose all the extra weight to get any benefit?,paraphrase,20,5,1,HT07,6.776828765869141,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.38685280723454163,1.0,1.0,1.0,0.1,0.38685280723454163,1.0,1.0,0.2
A. Lexical retrieval (BM25 only),My toddler is burning up but is playing happily. How worried should I be?,paraphrase,20,5,2,HT07,10.861218452453613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),The baby got a temperature the day after her shots. Is that expected?,paraphrase,20,5,2,MH09,6.758702278137207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.17723928678404774,1.0,1.0,0.1
A. Lexical retrieval (BM25 only),My child missed several vaccine doses. Do we have to start the whole series again?,paraphrase,20,5,1,VX03,18.49043846130371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What vitamin should I take before trying to conceive to protect the baby's spine?,paraphrase,20,5,1,VX08,11.607718467712402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3333333333333333,1.0,1.0,0.14285714285714285
A. Lexical retrieval (BM25 only),I am short of breath lying flat and my ankles are swollen in the evening.,paraphrase,20,5,2,CV10,8.497126579284668,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Are painkillers like ibuprofen safe if my kidney function is reduced?,paraphrase,20,5,1,DM08,10.515240669250488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),What is first-line treatment for type 1 diabetes?,distractor,20,5,2,DM05,15.822002410888672,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9639404333166532,1.0,1.0,1.0,0.4,0.9639404333166532,1.0,1.0,1.0,0.2,0.9639404333166532,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What should be added when metformin alone is not enough?,distractor,20,5,2,DM06,12.914148330688477,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which glucose-lowering drug is preferred during pregnancy?,distractor,20,5,2,DM07,13.150386810302734,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,1.0,0.2,0.9180385079206221,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which blood pressure medications must be stopped in pregnancy?,distractor,20,5,1,HT08,6.943244934082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),Is a reading over 180/120 with chest pain an emergency or an urgency?,distractor,20,5,2,HT03,20.385656356811523,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Can a long-acting beta agonist be used on its own for asthma?,distractor,20,5,2,AS04,23.43903923034668,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,1.0,0.2,0.9180385079206221,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How do I tell whether persistent breathlessness is COPD rather than asthma?,distractor,20,5,2,AS02,9.436728477478027,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.41311732856427996,1.0,1.0,0.5,0.2,0.41311732856427996,1.0,1.0,1.0,0.2,0.5112209029332552,1.0,1.0,0.3333333333333333
A. Lexical retrieval (BM25 only),Should bacteria found in the urine of a patient with no symptoms be treated?,distractor,20,5,2,ID07,19.878000259399414,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),How does kidney infection with flank pain and fever differ from a simple bladder infection?,distractor,20,5,2,ID06,16.823688507080078,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Does a sore throat need a swab before antibiotics are given?,distractor,20,5,2,ID10,9.545257568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),Why is aspirin avoided for fever in children?,distractor,20,5,2,PF04,16.66384506225586,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which vaccines cannot be given to someone who is immunocompromised?,distractor,20,5,2,VX05,10.510477066040039,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What comes after a positive two-question depression pre-screen?,distractor,20,5,2,MH02,13.446967124938965,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.6131471927654584,1.0,1.0,1.0,0.4,0.8772153153380493,1.0,1.0,1.0,0.2,0.8772153153380493,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What must be ruled out before starting an antidepressant?,distractor,20,5,2,MH07,14.216254234313965,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which depression screening tool is designed for use around childbirth?,distractor,20,5,2,MH09,6.283123016357422,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,1.0,0.2,0.9091417955461737,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Is exertional chest discomfort relieved by rest an acute coronary syndrome?,distractor,20,5,2,CV07,38.63888931274414,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,0.5,0.1,0.8262346571285599,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What is added when a maximum-dose statin still leaves LDL too high?,distractor,20,5,2,CV04,23.12759780883789,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8262346571285599,1.0,1.0,0.5,0.2,0.8262346571285599,1.0,1.0,1.0,0.2,0.9180385079206221,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Is a rise in creatinine after starting an ACE inhibitor a reason to stop it?,distractor,20,5,2,KD02,26.992393493652344,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),When is treatment indicated for a raised TSH with a normal free T4?,distractor,20,5,2,TH05,25.872385025024414,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which beta blocker situations still justify their use in hypertension?,distractor,20,5,1,HT14,6.383133411407471,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.2,0.5,1.0,1.0,1.0,0.1,0.5,1.0,1.0,0.3333333333333333
A. Lexical retrieval (BM25 only),What lifestyle changes lower blood pressure?,multi_doc,20,5,7,DM04,8.555703163146973,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2,0.1791917585385473,1.0,1.0,0.2857142857142857,0.2,0.2034839509417704,1.0,1.0,0.25
A. Lexical retrieval (BM25 only),Why does uncontrolled high blood pressure matter if I feel fine?,multi_doc,20,5,4,HT07,8.670432090759277,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.5158474921363962,1.0,1.0,0.5,0.4,0.4671445995090871,1.0,1.0,0.5,0.2,0.4671445995090871,1.0,1.0,0.5
A. Lexical retrieval (BM25 only),What is the full set of routine annual screenings for a patient with diabetes?,multi_doc,20,5,4,VX02,7.770073890686035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Lexical retrieval (BM25 only),How should a patient who screens positive for suicidal thoughts be handled?,multi_doc,20,5,2,AS06,8.309380531311035,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.52129602861432,1.0,1.0,0.5,0.2,0.52129602861432,1.0,1.0,0.5,0.1,0.52129602861432,1.0,1.0,0.5
A. Lexical retrieval (BM25 only),What should be done in the first hour for a patient with suspected sepsis?,multi_doc,20,5,2,ID10,18.064523696899414,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),Which vaccines are recommended during pregnancy?,multi_doc,20,5,3,VX05,11.44189739227295,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,0.24207625393180188,1.0,0.0,0.6666666666666666,0.4,0.5548459574357494,1.0,1.0,0.6666666666666666,0.2,0.5548459574357494,1.0,1.0,1.0
A. Lexical retrieval (BM25 only),What are the danger signs in pregnancy and what condition do they suggest?,multi_doc,20,5,2,PG07,10.602422714233398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
