architecture,query,kind,answerable,abstained,should_abstain,abstain_reason,n_cited,cited_ids,citation_valid,citation_correct,groundedness,answered_correctly,answer,degraded,warnings
no abstention gate,What vitamin should I take before trying to conceive to protect the baby's spine?,paraphrase,True,False,False,,1,PG03,True,True,0.9565217391304348,True,"Folic acid supplementation of 400 to 800 micrograms daily, begun at least a month before conception and continued through early pregnancy, substantially reduces the risk of neural tube defects. [PG03]",False,
no abstention gate,Is the baby aspirin worth taking to prevent a first heart attack if I am healthy?,paraphrase,True,False,False,,1,CV08,True,True,0.9615384615384616,True,Low-dose aspirin is an antiplatelet agent given indefinitely after a myocardial infarction or ischemic stroke for secondary prevention. Routine use for primary prevention in low-risk adults is no longer advised because bleeding offsets the benefit. [CV08],False,
no abstention gate,My legs ache since I started the cholesterol tablet. Do I have to stop it?,paraphrase,True,False,False,,1,CV03,True,True,0.96,True,"Muscle aches are the most frequently reported statin complaint, though blinded trials show most such symptoms are not caused by the drug. Management is a washout and rechallenge, a different statin, or intermittent dosing rather than abandoning treatment. [CV03]",False,
no abstention gate,Weakness on one side of the face and slurred words came on suddenly. What do I do?,paraphrase,True,False,False,,1,ST01,True,True,0.9615384615384616,True,"The FAST mnemonic helps the public recognize stroke: Face drooping, Arm weakness, Speech difficulty, and Time to call emergency services immediately. Noting the time symptoms began determines which treatments remain available. [ST01]",False,
no abstention gate,My sugar levels run high in the morning even before I eat anything. What test confirms it?,paraphrase,True,False,False,,1,DM01,True,True,0.9545454545454546,True,"Type 2 diabetes is diagnosed with a fasting plasma glucose of 126 mg/dL or higher, an HbA1c of 6.5 percent or higher, or a two-hour value of 200 mg/dL or higher on an oral glucose tolerance test, each confirmed on a second occasion. [DM01]",False,
no abstention gate,Is there a plastic tube thing that helps the medicine get into the lungs properly?,paraphrase,True,False,False,,1,AS08,True,True,0.9642857142857143,True,"Using a valved holding chamber, or spacer, with a metered-dose inhaler increases lung deposition and reduces oral thrush. Technique review at each visit matters because incorrect inhaler use is a frequent cause of apparent treatment failure. [AS08]",False,
no abstention gate,My child missed several vaccine doses. Do we have to start the whole series again?,paraphrase,True,False,False,,1,VX03,True,True,0.9545454545454546,True,"A catch-up immunization schedule lets a child or adult who has missed doses resume the series from where it stopped, using minimum intervals between doses. The series is not restarted from the beginning regardless of the delay. [VX03]",False,
no abstention gate,"I am always cold, tired, and constipated and my skin is dry. What should be checked?",paraphrase,True,False,False,,1,TH01,True,True,0.9523809523809523,True,"Symptoms include fatigue, cold intolerance, constipation, dry skin, and weight gain. Hypothyroidism is screened for with a serum TSH; an elevated TSH with a low free T4 confirms overt primary hypothyroidism. [TH01]",False,
no abstention gate,My toddler is burning up but is playing happily. How worried should I be?,paraphrase,True,False,False,,1,PF06,True,False,0.96,False,"Red flags in a febrile child include lethargy or inconsolability, difficulty breathing or grunting, a non-blanching rash, a stiff neck, persistent vomiting, or signs of dehydration such as no wet diapers for many hours. [PF06]",False,
no abstention gate,Which puffer do I grab when I suddenly cannot catch my breath?,paraphrase,True,False,False,,1,AS03,True,True,0.9545454545454546,True,"Patients often call the device a puffer or rescue inhaler. A short-acting beta agonist such as albuterol is the rescue medication for sudden asthma symptoms, opening the airways within minutes. [AS03]",False,
no abstention gate,"The symptoms went away completely after half an hour, so is it still worth being seen?",paraphrase,True,False,False,,1,ST04,True,True,0.9545454545454546,True,"A transient ischemic attack causes stroke symptoms that resolve completely, usually within an hour, but carries a high risk of a completed stroke in the following days. It requires urgent evaluation, not reassurance. [ST04]",False,
no abstention gate,How much salt is too much if my pressure is up?,paraphrase,True,False,False,,1,LS06,True,True,0.9545454545454546,True,"Most dietary sodium comes from packaged and restaurant food rather than the salt shaker. Sodium intake should be kept below 2,300 mg daily for most adults, with a target near 1,500 mg for those with hypertension. [LS06]",False,
no abstention gate,When is treatment indicated for a raised TSH with a normal free T4?,distractor,True,False,False,,1,TH05,True,True,0.95,True,"Subclinical hypothyroidism is a raised TSH with a normal free T4. Treatment is generally reserved for a TSH above 10, or for symptoms, positive antibodies, or pregnancy, and the test is repeated before committing to therapy. [TH05]",False,
no abstention gate,Why is aspirin avoided for fever in children?,distractor,True,False,False,,1,PF04,True,True,0.9473684210526315,True,"Aspirin is avoided for fever in children and adolescents because of its association with Reye syndrome, a rare but serious encephalopathy with liver dysfunction that can follow viral illness. [PF04]",False,
no abstention gate,What is added when a maximum-dose statin still leaves LDL too high?,distractor,True,False,False,,1,CV04,True,True,0.9583333333333334,True,"When a maximally tolerated statin leaves LDL above target, ezetimibe is added next, followed by a PCSK9 inhibitor for very high-risk patients. These are add-on agents rather than statin replacements. [CV04]",False,
no abstention gate,Which glucose-lowering drug is preferred during pregnancy?,distractor,True,False,False,,1,DM07,True,True,0.95,True,"Gestational diabetes is managed first with medical nutrition therapy and glucose self-monitoring; when targets are not met, insulin is the preferred pharmacologic agent during pregnancy. [DM07]",False,
no abstention gate,Does a sore throat need a swab before antibiotics are given?,distractor,True,False,False,,1,ID10,True,False,0.9565217391304348,False,"In suspected sepsis, blood cultures are drawn and broad-spectrum antibiotics given within the first hour alongside intravenous fluid resuscitation, because each hour of delay to effective antibiotics increases mortality. [ID10]",False,
no abstention gate,Which blood pressure medications must be stopped in pregnancy?,distractor,True,False,False,,1,PG07,True,True,0.9523809523809523,True,"ACE inhibitors and angiotensin receptor blockers are contraindicated in pregnancy because they cause fetal kidney injury and oligohydramnios. Labetalol, nifedipine, and methyldopa are the preferred antihypertensives instead. [PG07]",False,
no abstention gate,What comes after a positive two-question depression pre-screen?,distractor,True,False,False,,1,MH02,True,True,0.9473684210526315,True,The PHQ-2 is a two-item pre-screen asking about depressed mood and loss of interest. A positive PHQ-2 is followed by the full PHQ-9 rather than treated as a diagnosis in itself. [MH02],False,
no abstention gate,What must be ruled out before starting an antidepressant?,distractor,True,False,False,,1,MH07,True,True,0.9411764705882353,True,"Screening for a history of mania or hypomania before starting an antidepressant is important, because unopposed antidepressant therapy in bipolar disorder can precipitate a manic switch. [MH07]",False,
no abstention gate,Which vaccines cannot be given to someone who is immunocompromised?,distractor,True,False,False,,1,VX05,True,True,0.9444444444444444,True,Inactivated vaccines carry no such restriction and are given normally to these groups. Live attenuated vaccines such as MMR and varicella are contraindicated in significant immunocompromise and in pregnancy. [VX05],False,
no abstention gate,Is a rise in creatinine after starting an ACE inhibitor a reason to stop it?,distractor,True,False,False,,1,KD02,True,True,0.96,True,A creatinine rise of up to 30 percent after initiation is expected and is not a reason to stop. An ACE inhibitor or angiotensin receptor blocker slows progression of proteinuric chronic kidney disease beyond its blood pressure effect. [KD02],False,
no abstention gate,How is stroke risk reduced after someone has already had one?,multi_doc,True,False,False,,1,CV09,True,False,0.9642857142857143,False,"Atrial fibrillation raises stroke risk from clot formation in the left atrium, and is treated with an oral anticoagulant, usually a direct oral anticoagulant rather than warfarin, when the CHA2DS2-VASc score indicates it. Antiplatelet drugs like aspirin are not adequate substitutes. [CV09]",False,
no abstention gate,What monitoring is needed after starting an ACE inhibitor?,multi_doc,True,False,False,,1,KD06,True,True,0.9565217391304348,True,"Potassium and creatinine are rechecked one to two weeks after starting or increasing an ACE inhibitor, an angiotensin receptor blocker, or a mineralocorticoid receptor antagonist, because hyperkalemia is the main dose-limiting risk. [KD06]",False,
no abstention gate,What is the full set of routine annual screenings for a patient with diabetes?,multi_doc,True,False,False,,1,DM12,True,True,0.9565217391304348,True,Diabetic kidney disease is screened for annually with a spot urine albumin-to-creatinine ratio together with an estimated glomerular filtration rate; persistent albuminuria on two of three samples establishes the diagnosis. [DM12],False,
no abstention gate,What should be done in the first hour for a patient with suspected sepsis?,multi_doc,True,False,False,,1,ID10,True,True,0.9565217391304348,True,"In suspected sepsis, blood cultures are drawn and broad-spectrum antibiotics given within the first hour alongside intravenous fluid resuscitation, because each hour of delay to effective antibiotics increases mortality. [ID10]",False,
no abstention gate,How is asthma control assessed and tracked over time?,multi_doc,True,False,False,,1,AS01,True,True,0.9583333333333334,True,"Asthma control is assessed over the previous four weeks by daytime symptom frequency, any night waking from asthma, reliever use, and activity limitation. Well-controlled asthma has none or at most one of these features. [AS01]",False,
no abstention gate,Which antiretroviral regimen is first-line for newly diagnosed HIV?,unanswerable,False,False,True,,1,DM05,True,,0.96,False,"First-line therapy for type 1 diabetes is insulin replacement, delivered either as multiple daily injections of basal and mealtime insulin or by continuous subcutaneous infusion pump. Oral agents such as metformin do not replace insulin in type 1 disease. [DM05]",False,
no abstention gate,What is the surgical approach for a torn anterior cruciate ligament?,unanswerable,False,False,True,,1,ST06,True,,0.9473684210526315,False,"Carotid imaging is performed after an anterior circulation stroke or TIA, and revascularization is considered for symptomatic stenosis of 70 to 99 percent, ideally within two weeks of the event. [ST06]",False,
no abstention gate,What is the recommended chemotherapy regimen for stage III colon cancer?,unanswerable,False,False,True,,1,VX07,True,,0.9411764705882353,False,"Pneumococcal vaccination is recommended for adults aged 65 and older and for younger adults with chronic heart, lung, liver, or kidney disease, diabetes, smoking, or immunocompromise. [VX07]",False,
no abstention gate,Which biologic is preferred for moderate to severe ulcerative colitis?,unanswerable,False,False,True,,1,ID08,True,,0.9545454545454546,False,"Cellulitis presents as spreading skin warmth, redness, swelling, and tenderness with poorly demarcated borders, and is treated with antibiotics covering streptococci and, where purulence or abscess suggests it, Staphylococcus aureus. [ID08]",False,
no abstention gate,How is multiple sclerosis relapse treated acutely?,unanswerable,False,False,True,,1,ID11,True,,0.9583333333333334,False,"Finishing the antibiotic course as prescribed, rather than stopping when symptoms improve, reduces relapse and the emergence of resistant organisms. Shorter evidence-based courses are preferred over unnecessarily long ones. [ID11]",False,
abstention gate @ -2.179,How is type 2 diabetes diagnosed?,direct,True,False,False,,1,DM01,True,True,0.9545454545454546,True,"Type 2 diabetes is diagnosed with a fasting plasma glucose of 126 mg/dL or higher, an HbA1c of 6.5 percent or higher, or a two-hour value of 200 mg/dL or higher on an oral glucose tolerance test, each confirmed on a second occasion. [DM01]",False,
abstention gate @ -2.179,How can the public recognize the symptoms of a stroke?,direct,True,False,False,,1,ST01,True,True,0.9615384615384616,True,"The FAST mnemonic helps the public recognize stroke: Face drooping, Arm weakness, Speech difficulty, and Time to call emergency services immediately. Noting the time symptoms began determines which treatments remain available. [ST01]",False,
abstention gate @ -2.179,Who should receive an annual influenza vaccine?,direct,True,False,False,,1,VX02,True,True,0.9523809523809523,True,"Annual influenza vaccination is recommended for everyone aged six months and older, ideally before influenza begins circulating locally, with rare exceptions based on a specific medical contraindication. [VX02]",False,
abstention gate @ -2.179,How is chronic kidney disease staged?,direct,True,False,False,,1,KD01,True,True,0.9523809523809523,True,"Chronic kidney disease is staged by estimated glomerular filtration rate from G1 to G5 and separately by albuminuria category A1 to A3. Both axes together determine monitoring frequency and referral, not eGFR alone. [KD01]",False,
abstention gate @ -2.179,What screening questionnaire is used for depression in primary care?,direct,True,False,False,,1,MH01,True,True,0.96,True,"The PHQ-9 is a nine-item self-report questionnaire used in primary care to screen for depression and grade its severity, scoring each of the nine DSM criteria from zero to three over the past two weeks. [MH01]",False,
abstention gate @ -2.179,Should antibiotics be prescribed for an upper respiratory infection?,direct,True,False,False,,1,ID01,True,True,0.9565217391304348,True,"Most upper respiratory infections are viral, so antibiotics neither shorten the illness nor prevent complications and expose the patient to side effects and resistance. Treatment is symptomatic: fluids, rest, and analgesia. [ID01]",False,
abstention gate @ -2.179,What is the preferred long-term controller medication for persistent asthma?,direct,True,False,False,,1,AS02,True,True,0.96,True,"Inhaled corticosteroids are the preferred long-term controller for persistent asthma. They reduce airway inflammation, symptom burden, and exacerbation frequency, and must be taken daily to be effective rather than only when symptomatic. [AS02]",False,
abstention gate @ -2.179,What does a lipid panel measure?,direct,True,False,False,,1,CV01,True,True,0.95,True,"A lipid panel reports total cholesterol, LDL cholesterol, HDL cholesterol, and triglycerides. LDL is the primary treatment target, and the panel feeds directly into cardiovascular risk estimation and statin decisions. [CV01]",False,
abstention gate @ -2.179,Which tool screens for generalized anxiety symptoms?,direct,True,False,False,,1,MH03,True,True,0.9523809523809523,True,"The GAD-7 is a seven-item instrument that screens for and grades the severity of generalized anxiety symptoms over the past two weeks, with cut-points marking mild, moderate, and severe anxiety. [MH03]",False,
abstention gate @ -2.179,How much aerobic physical activity is recommended for adults each week?,direct,True,False,False,,1,LS02,True,True,0.9545454545454546,True,"Adults are advised to accumulate at least 150 minutes of moderate-intensity aerobic activity per week, or 75 minutes of vigorous activity, and any increase from a sedentary baseline yields the largest relative health gain. [LS02]",False,
abstention gate @ -2.179,What are the signs of sepsis?,direct,True,False,False,,1,ID09,True,True,0.95,True,"Sepsis is suspected when infection is accompanied by fever or hypothermia, tachycardia, tachypnea, altered mental status, or hypotension, and it requires immediate evaluation because deterioration can be rapid. [ID09]",False,
abstention gate @ -2.179,How is a severe asthma exacerbation managed?,direct,True,False,False,,1,AS10,True,True,0.9629629629629629,True,"A severe asthma exacerbation is treated with repeated short-acting bronchodilator dosing, systemic corticosteroids for five to seven days, and controlled oxygen. Inability to speak in full sentences or a silent chest indicates life-threatening obstruction. [AS10]",False,
abstention gate @ -2.179,What is the recommended time window for intravenous thrombolysis in ischemic stroke?,direct,True,False,False,,1,ST02,True,True,0.96,True,"Intravenous thrombolysis for ischemic stroke is given within 4.5 hours of symptom onset after imaging excludes hemorrhage, and the benefit shrinks with every minute of delay, which is why stroke is treated as a time-critical emergency. [ST02]",False,
abstention gate @ -2.179,What is the first-line medication for type 2 diabetes?,direct,True,False,False,,1,DM04,True,True,0.9545454545454546,True,"First-line pharmacologic therapy for most adults with type 2 diabetes is metformin, started alongside lifestyle changes such as dietary modification, weight management, and increased physical activity. [DM04]",False,
abstention gate @ -2.179,How frequently are prenatal visits scheduled in a low-risk pregnancy?,direct,True,False,False,,1,PG01,True,True,0.9375,True,"Routine prenatal visits in a low-risk pregnancy occur about every four weeks until 28 weeks, every two weeks from 28 to 36 weeks, and weekly from 36 weeks until delivery. [PG01]",False,
abstention gate @ -2.179,I got terrible watery diarrhea a couple of weeks after taking antibiotics.,paraphrase,True,False,False,,1,ID12,True,True,0.9583333333333334,True,"Clostridioides difficile infection causes watery diarrhea, cramping, and fever days to weeks after antibiotic exposure disrupts the gut flora. It is diagnosed by stool testing and treated with oral vancomycin or fidaxomicin. [ID12]",False,
abstention gate @ -2.179,What vitamin should I take before trying to conceive to protect the baby's spine?,paraphrase,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -3.699 below abstention threshold -2.179
abstention gate @ -2.179,Is the baby aspirin worth taking to prevent a first heart attack if I am healthy?,paraphrase,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -2.415 below abstention threshold -2.179
abstention gate @ -2.179,My legs ache since I started the cholesterol tablet. Do I have to stop it?,paraphrase,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -8.491 below abstention threshold -2.179
abstention gate @ -2.179,Weakness on one side of the face and slurred words came on suddenly. What do I do?,paraphrase,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -7.035 below abstention threshold -2.179
abstention gate @ -2.179,My sugar levels run high in the morning even before I eat anything. What test confirms it?,paraphrase,True,False,False,,1,DM01,True,True,0.9545454545454546,True,"Type 2 diabetes is diagnosed with a fasting plasma glucose of 126 mg/dL or higher, an HbA1c of 6.5 percent or higher, or a two-hour value of 200 mg/dL or higher on an oral glucose tolerance test, each confirmed on a second occasion. [DM01]",False,
abstention gate @ -2.179,Is there a plastic tube thing that helps the medicine get into the lungs properly?,paraphrase,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -8.608 below abstention threshold -2.179
abstention gate @ -2.179,My child missed several vaccine doses. Do we have to start the whole series again?,paraphrase,True,False,False,,1,VX03,True,True,0.9545454545454546,True,"A catch-up immunization schedule lets a child or adult who has missed doses resume the series from where it stopped, using minimum intervals between doses. The series is not restarted from the beginning regardless of the delay. [VX03]",False,
abstention gate @ -2.179,"I am always cold, tired, and constipated and my skin is dry. What should be checked?",paraphrase,True,False,False,,1,TH01,True,True,0.9523809523809523,True,"Symptoms include fatigue, cold intolerance, constipation, dry skin, and weight gain. Hypothyroidism is screened for with a serum TSH; an elevated TSH with a low free T4 confirms overt primary hypothyroidism. [TH01]",False,
abstention gate @ -2.179,My toddler is burning up but is playing happily. How worried should I be?,paraphrase,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -9.713 below abstention threshold -2.179
abstention gate @ -2.179,Which puffer do I grab when I suddenly cannot catch my breath?,paraphrase,True,False,False,,1,AS03,True,True,0.9545454545454546,True,"Patients often call the device a puffer or rescue inhaler. A short-acting beta agonist such as albuterol is the rescue medication for sudden asthma symptoms, opening the airways within minutes. [AS03]",False,
abstention gate @ -2.179,"The symptoms went away completely after half an hour, so is it still worth being seen?",paraphrase,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -5.170 below abstention threshold -2.179
abstention gate @ -2.179,How much salt is too much if my pressure is up?,paraphrase,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -3.883 below abstention threshold -2.179
abstention gate @ -2.179,When is treatment indicated for a raised TSH with a normal free T4?,distractor,True,False,False,,1,TH05,True,True,0.95,True,"Subclinical hypothyroidism is a raised TSH with a normal free T4. Treatment is generally reserved for a TSH above 10, or for symptoms, positive antibodies, or pregnancy, and the test is repeated before committing to therapy. [TH05]",False,
abstention gate @ -2.179,Why is aspirin avoided for fever in children?,distractor,True,False,False,,1,PF04,True,True,0.9473684210526315,True,"Aspirin is avoided for fever in children and adolescents because of its association with Reye syndrome, a rare but serious encephalopathy with liver dysfunction that can follow viral illness. [PF04]",False,
abstention gate @ -2.179,What is added when a maximum-dose statin still leaves LDL too high?,distractor,True,False,False,,1,CV04,True,True,0.9583333333333334,True,"When a maximally tolerated statin leaves LDL above target, ezetimibe is added next, followed by a PCSK9 inhibitor for very high-risk patients. These are add-on agents rather than statin replacements. [CV04]",False,
abstention gate @ -2.179,Which glucose-lowering drug is preferred during pregnancy?,distractor,True,False,False,,1,DM07,True,True,0.95,True,"Gestational diabetes is managed first with medical nutrition therapy and glucose self-monitoring; when targets are not met, insulin is the preferred pharmacologic agent during pregnancy. [DM07]",False,
abstention gate @ -2.179,Does a sore throat need a swab before antibiotics are given?,distractor,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -7.787 below abstention threshold -2.179
abstention gate @ -2.179,Which blood pressure medications must be stopped in pregnancy?,distractor,True,False,False,,1,PG07,True,True,0.9523809523809523,True,"ACE inhibitors and angiotensin receptor blockers are contraindicated in pregnancy because they cause fetal kidney injury and oligohydramnios. Labetalol, nifedipine, and methyldopa are the preferred antihypertensives instead. [PG07]",False,
abstention gate @ -2.179,What comes after a positive two-question depression pre-screen?,distractor,True,False,False,,1,MH02,True,True,0.9473684210526315,True,The PHQ-2 is a two-item pre-screen asking about depressed mood and loss of interest. A positive PHQ-2 is followed by the full PHQ-9 rather than treated as a diagnosis in itself. [MH02],False,
abstention gate @ -2.179,What must be ruled out before starting an antidepressant?,distractor,True,False,False,,1,MH07,True,True,0.9411764705882353,True,"Screening for a history of mania or hypomania before starting an antidepressant is important, because unopposed antidepressant therapy in bipolar disorder can precipitate a manic switch. [MH07]",False,
abstention gate @ -2.179,Which vaccines cannot be given to someone who is immunocompromised?,distractor,True,False,False,,1,VX05,True,True,0.9444444444444444,True,Inactivated vaccines carry no such restriction and are given normally to these groups. Live attenuated vaccines such as MMR and varicella are contraindicated in significant immunocompromise and in pregnancy. [VX05],False,
abstention gate @ -2.179,Is a rise in creatinine after starting an ACE inhibitor a reason to stop it?,distractor,True,False,False,,1,KD02,True,True,0.96,True,A creatinine rise of up to 30 percent after initiation is expected and is not a reason to stop. An ACE inhibitor or angiotensin receptor blocker slows progression of proteinuric chronic kidney disease beyond its blood pressure effect. [KD02],False,
abstention gate @ -2.179,How is stroke risk reduced after someone has already had one?,multi_doc,True,True,False,no sufficiently relevant passage was retrieved,0,,,,,False,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -4.466 below abstention threshold -2.179
abstention gate @ -2.179,What monitoring is needed after starting an ACE inhibitor?,multi_doc,True,False,False,,1,KD06,True,True,0.9565217391304348,True,"Potassium and creatinine are rechecked one to two weeks after starting or increasing an ACE inhibitor, an angiotensin receptor blocker, or a mineralocorticoid receptor antagonist, because hyperkalemia is the main dose-limiting risk. [KD06]",False,
abstention gate @ -2.179,What is the full set of routine annual screenings for a patient with diabetes?,multi_doc,True,False,False,,1,DM12,True,True,0.9565217391304348,True,Diabetic kidney disease is screened for annually with a spot urine albumin-to-creatinine ratio together with an estimated glomerular filtration rate; persistent albuminuria on two of three samples establishes the diagnosis. [DM12],False,
abstention gate @ -2.179,What should be done in the first hour for a patient with suspected sepsis?,multi_doc,True,False,False,,1,ID10,True,True,0.9565217391304348,True,"In suspected sepsis, blood cultures are drawn and broad-spectrum antibiotics given within the first hour alongside intravenous fluid resuscitation, because each hour of delay to effective antibiotics increases mortality. [ID10]",False,
abstention gate @ -2.179,How is asthma control assessed and tracked over time?,multi_doc,True,False,False,,1,AS01,True,True,0.9583333333333334,True,"Asthma control is assessed over the previous four weeks by daytime symptom frequency, any night waking from asthma, reliever use, and activity limitation. Well-controlled asthma has none or at most one of these features. [AS01]",False,
abstention gate @ -2.179,Which antiretroviral regimen is first-line for newly diagnosed HIV?,unanswerable,False,True,True,no sufficiently relevant passage was retrieved,0,,,,,True,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -3.035 below abstention threshold -2.179
abstention gate @ -2.179,What is the surgical approach for a torn anterior cruciate ligament?,unanswerable,False,True,True,no sufficiently relevant passage was retrieved,0,,,,,True,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -9.105 below abstention threshold -2.179
abstention gate @ -2.179,What is the recommended chemotherapy regimen for stage III colon cancer?,unanswerable,False,True,True,no sufficiently relevant passage was retrieved,0,,,,,True,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -8.044 below abstention threshold -2.179
abstention gate @ -2.179,Which biologic is preferred for moderate to severe ulcerative colitis?,unanswerable,False,True,True,no sufficiently relevant passage was retrieved,0,,,,,True,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -10.039 below abstention threshold -2.179
abstention gate @ -2.179,How is multiple sclerosis relapse treated acutely?,unanswerable,False,True,True,no sufficiently relevant passage was retrieved,0,,,,,True,"I don't have a relevant source for that in the knowledge base, so I can't answer it.",False,top score -8.600 below abstention threshold -2.179
